id_reserva,fecha_reserva,inicio_estancia,final_estancia,precio_noche,id_cliente,id_hotel
5256cc90-139b-43d2-8ec5-412495d751cf,2025-02-25,2025-03-01,2025-03-02,110.0,ID0,ID19
84fd6209-bd8d-4a92-bfe6-c68ee2c49271,2025-02-25,2025-03-01,2025-03-02,172.0,ID1,ID20
40c4cb55-d1f5-407b-832f-4756b8ff77b4,2025-02-09,2025-03-01,2025-03-02,119.96,ID2,ID0
f2ce8df5-7844-43e1-8c0f-97ce7a208f21,2025-02-08,2025-03-01,2025-03-02,211.53,ID3,ID1
57d4515a-447d-4067-afcb-9bdcf4e4e915,2025-02-02,2025-03-01,2025-03-02,378.37,ID4,ID2
ccbd9fe9-5a60-4f6f-bed3-73a7158ecba7,2025-02-08,2025-03-01,2025-03-02,85.45,ID5,ID3
99c3dc4f-663c-45f7-849a-ac9313f3746a,2025-02-09,2025-03-01,2025-03-02,309.8,ID6,ID4
4d65096e-5f12-4ce7-9fd6-dd20e3cf5194,2025-02-25,2025-03-01,2025-03-02,119.0,ID7,ID21
a5da0906-0fe5-4c30-b193-863df67a7b84,2025-02-10,2025-03-01,2025-03-02,434.88,ID8,ID5
458029ad-cc9b-4d85-8290-fec170bcc02d,2025-02-25,2025-03-01,2025-03-02,119.0,ID9,ID22
3eca014e-f122-41d7-9dd3-b984b9153d57,2025-02-02,2025-03-01,2025-03-02,216.57,ID10,ID6
ac0fe86e-90a0-4fe6-a02e-6ea00e9a8621,2025-02-25,2025-03-01,2025-03-02,107.0,ID11,ID23
8d2d3ea2-14bb-4762-a7a4-a44e75d2d2f4,2025-02-25,2025-03-01,2025-03-02,116.0,ID12,ID24
8a68fb77-8798-4902-a92d-642ea5e47083,2025-02-10,2025-03-01,2025-03-02,378.1,ID13,ID7
77354d6e-4713-496f-af21-c231b909e29c,2025-02-25,2025-03-01,2025-03-02,119.0,ID14,ID22
5e3de36b-3d2f-4cef-98d3-df826c56a4b1,2025-02-01,2025-03-01,2025-03-02,358.07,ID15,ID8
f4cf7cbf-7a2a-4e44-9b9d-e2c9a444ec78,2025-02-25,2025-03-01,2025-03-02,90.0,ID16,ID25
2a39eb83-b3aa-4df0-93b3-1fdc0b0a9609,2025-02-01,2025-03-01,2025-03-02,79.77,ID17,ID9
96a3727c-99fb-4ae0-a6c3-886504499ec2,2025-02-12,2025-03-01,2025-03-02,228.02,ID18,ID10
18fa5887-c155-4064-ba8d-3b2948dd348b,2025-02-11,2025-03-01,2025-03-02,385.24,ID19,ID2
9880f3ea-a29d-4acd-9fe1-96df1ffa46bd,2025-02-06,2025-03-01,2025-03-02,454.01,ID20,ID11
22a3608a-1de2-40c7-8e2a-d22daf77390f,2025-02-02,2025-03-01,2025-03-02,279.28,ID21,ID4
68b36da9-eeaa-4c31-91a8-d34fcc3956c8,2025-02-09,2025-03-01,2025-03-02,332.34,ID22,ID12
b92dbe7c-4660-4e4c-9224-47cae0152bf9,2025-02-08,2025-03-01,2025-03-02,318.14,ID23,ID10
9b16fc42-a7c6-4db9-98c7-30dbf2bb72b3,2025-02-02,2025-03-01,2025-03-02,437.34,ID24,ID13
65fcc15f-f4c6-492a-b191-f180ae314bea,2025-02-12,2025-03-01,2025-03-02,387.89,ID25,ID0
8a5b02f8-caa9-4917-a50d-a122c74a5c6d,2025-02-09,2025-03-01,2025-03-02,254.17,ID26,ID14
24f9a853-2cef-4fb7-8182-d4f347c772d7,2025-02-03,2025-03-01,2025-03-02,460.67,ID27,ID3
345b493b-5fcb-476c-940b-cce20444d64e,2025-02-05,2025-03-01,2025-03-02,218.25,ID28,ID7
e9fc009e-6bbd-49a9-aaa1-499fbe5b7036,2025-02-11,2025-03-01,2025-03-02,463.31,ID29,ID0
91569bdd-8430-4537-8245-6ca66e5c95ed,2025-02-03,2025-03-01,2025-03-02,445.41,ID30,ID3
4e4f9542-3b51-4da1-b75e-b8c8a2018b6e,2025-02-25,2025-03-01,2025-03-02,117.0,ID31,ID26
2713abaf-e02b-4e4b-9897-a6b9cd4862b5,2025-02-02,2025-03-01,2025-03-02,88.53,ID32,ID15
56aa252f-8c76-4712-a8d8-cfa844b5711a,2025-02-09,2025-03-01,2025-03-02,394.62,ID33,ID16
67cc0893-51de-461e-bdf3-72beb87d4672,2025-02-09,2025-03-01,2025-03-02,169.27,ID34,ID12
6c3c255a-a128-4f41-86f2-e41a0c6a04df,2025-02-25,2025-03-01,2025-03-02,119.0,ID35,ID21
728efa5a-8a5a-4e53-8b2b-349c4fcab5d9,2025-02-06,2025-03-01,2025-03-02,370.82,ID36,ID11
f4b3e94a-2476-4923-953d-1f76ad90b520,2025-02-11,2025-03-01,2025-03-02,253.16,ID37,ID17
166f113f-64cf-408d-b1c3-30ef155f8049,2025-02-10,2025-03-01,2025-03-02,314.73,ID38,ID17
b4ec52c7-ac8d-4c68-93f2-56f80786978c,2025-02-05,2025-03-01,2025-03-02,368.52,ID39,ID8
bec6c4c5-e6bf-4115-98d2-9c2f1161b77d,2025-02-07,2025-03-01,2025-03-02,436.83,ID40,ID4
552fa988-9d52-4cfe-bcc4-1b5886f61a9c,2025-02-25,2025-03-01,2025-03-02,107.0,ID41,ID23
aca3e915-cf8f-4ee5-b921-f23f909f602b,2025-02-10,2025-03-01,2025-03-02,109.53,ID42,ID9
7ddea2f1-6ccc-40b1-b015-da2cc26f0f98,2025-02-25,2025-03-01,2025-03-02,90.0,ID43,ID25
47f91472-4a34-4e03-9cd2-64bbf695dcdd,2025-02-01,2025-03-01,2025-03-02,135.67,ID44,ID5
4d0ca33e-6881-4eaa-8c32-caf6273e468b,2025-02-12,2025-03-01,2025-03-02,260.15,ID45,ID8
7acd5eae-e278-4568-9e35-638532e10b87,2025-02-25,2025-03-01,2025-03-02,86.0,ID46,ID27
19b57bd1-9cbf-4c22-a91a-ba4c3850008e,2025-02-25,2025-03-01,2025-03-02,110.0,ID47,ID19
